fiscal_year,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,Long,Lat,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,Community_district 1,Police_precinct
2020,105 TECH PLACE,NY,988103,192646,-73.986105,40.695444,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,13,13,NULL,302,84
2020,105 TECH PLACE,NY,988103,192646,-73.986105,40.695444,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,13,13,NULL,302,84
2020,1084 LENOX ROAD,NY,1006497,178909,-73.919818,40.657712,317,41,88600,3046690037,BK96,Rugby-Remsen Village,18,84,OFFICE OF CHARTER SCHOOLS,317,67
2020,4200 16 AVENUE,NY,989128,170661,-73.982424,40.6351,312,44,23000,3053620021,BK88,Borough Park,20,20,NULL,312,66
2020,50 BEDFORD AVENUE,NY,997187,202123,-73.953328,40.721448,301,33,51700,3026700001,BK73,North Side-South Side,14,14,NULL,301,94
2020,3000 AVENUE X,NY,1001848,155386,-73.936635,40.593157,315,48,62600,3074250002,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,22,22,NULL,315,61
2020,40 EAST  29 STREET,NY,988468,210490,-73.9848,40.7444,105,2,7400,1008580049,MN17,Midtown-Midtown South,2,79,ALTERNATIVE HIGH SCHOOL DISTRICT,105,13
2020,325 BUSHWICK AVENUE,NY,1001221,196135,-73.93879,40.705005,301,34,48500,3030910001,BK78,Bushwick South,14,14,NULL,301,90
2020,1 WELLS STREET,NY,1018830,186599,-73.875328,40.67878,305,37,119600,3041550075,BK82,East New York,19,19,NULL,305,75
2020,300 WILLOUGHBY AVENUE,NY,995847,191399,-73.95818,40.692015,303,33,23500,3019260010,BK69,Clinton Hill,13,13,NULL,303,79
2020,1600 ROCKAWAY PARKWAY,NY,1012391,172660,-73.898601,40.640543,318,46,99000,3082220001,BK50,Canarsie,18,18,NULL,318,69
2020,999 JAMAICA AVENUE,NY,1020493,191783,-73.869305,40.693002,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn,19,19,NULL,305,75
2020,25 BRIGHTON  4TH ROAD,NY,994315,151777,-73.963764,40.583263,313,48,36600,3072610201,BK19,Brighton Beach,21,21,NULL,313,60
2020,150 ALBANY AVENUE,NY,1001092,185533,-73.939282,40.675905,308,36,31100,3012160046,BK61,Crown Heights North,17,17,COMMUNITY SCHOOL DISTRICT 17,308,77
2020,2021 BERGEN STREET,NY,1008470,185011,-73.912685,40.674456,316,41,36501,3014480001,BK79,Ocean Hill,23,84,OFFICE OF CHARTER SCHOOLS,316,73
2020,280 HART STREET,NY,1000534,191999,-73.941278,40.693654,303,36,28100,3017730014,BK35,Stuyvesant Heights,16,16,COMMUNITY SCHOOL DISTRICT 16,303,79
2020,272 MACDONOUGH STREET,NY,1002031,187582,-73.935891,40.681528,303,36,27300,3016740011,BK35,Stuyvesant Heights,16,16,COMMUNITY SCHOOL DISTRICT 16,303,81
